test_id,query_id,pre1_ns,pre2_ns,pre3_ns,pre1_fix_ns,post1_ipc_ns,post2_ipc_ns,post3_ipc_ns,post4_ipc_ns,post1_tcp_ns,post2_tcp_ns,post3_tcp_ns,request_counter
1505,1,76767615,81259861,77345403,77003185,264600033,248194915,256571138,234765564,269069776,74606584,73044323,15
1506,1,86525475,82747919,82026655,88543648,294806245,260008985,256015288,245533556,98272362,90651217,86685763,227
1506,2,50672797,49527977,50646262,55950307,56183089,42342244,59123337,60312214,57798890,44294669,41381992,164
1506,3,43247410,40201551,40933435,44655803,54030505,53910718,56011750,61225852,61173233,62610966,54190385,899
1506,4,29999525,29096176,28445754,29843372,16221114,17205114,16713525,16830690,17649877,18367385,15312986,60
1506,5,46303616,45800804,44322879,54601161,35095329,37795903,36425044,38254192,36598685,39779414,35866005,144
1506,6,34170118,30882684,31264661,31298848,21082531,22266275,21731777,22722569,20856005,23204928,20424947,159
1506,7,47795503,41142823,40275883,40712519,39397203,38683583,38788704,43065026,39523193,43501732,38463324,304
1508,1,69842319,70742955,71227731,72565745,205197392,221058352,205897226,191941556,63039257,73473910,70809927,31
1508,2,45158993,51607561,44485730,47111375,46620534,52056290,50504789,54811244,33790293,38106920,32244351,30
1508,3,33311555,29345666,27485431,29880171,29536847,33047187,33418527,31476508,14681796,15103510,15402857,30
1509,1,82048515,77720826,77605960,80713911,225575168,263727616,238958255,281393884,71438339,74120039,77781281,15
1509,2,55301157,52477453,50922324,57119789,54254913,60080797,55771388,55712754,41587457,42622757,43507433,30
1509,3,37675669,35558854,35781828,37103122,36067518,25391676,38215819,40789269,22855486,23225631,22160645,24
1509,4,37253043,37802649,34488044,37587800,43410209,38855388,48769867,36464950,31485654,32579775,33292162,347
1510,1,114815014,116696224,113961516,117972552,283392117,280260162,263117017,286790546,113503997,118290749,119013567,191
1510,2,52048678,52866911,51802312,52709743,59273375,59181481,61716684,60943106,44489012,45244688,43512166,166
1510,3,30853103,30976914,29433727,30685321,24983820,40207095,25720923,25190750,25212332,24968416,24517080,286
1511,1,69240686,69974101,71136616,70061686,199325313,195588902,188194138,249922525,61823314,67524890,63237340,21
1511,2,61404523,61327863,63414084,65755305,62220124,64961810,68103596,92740498,48522297,49324446,47807584,20
1513,1,80829324,80838301,79446050,83244795,202694845,233392844,218210404,257467063,75877790,78321363,78128029,25
1513,2,43835662,43274128,44818595,44331640,32536613,33192811,30317207,31211649,31171501,31435890,31428144,24
1516,1,71557719,71961121,70368418,75167863,266260197,276659063,215486734,235068482,67414666,69028398,69345999,99
1516,2,62525864,64534023,64225931,67814849,53206849,52617748,55152155,63286957,54900085,54862251,55537583,97
1517,1,82017753,82741482,82132366,82078812,229722067,221225333,239379137,201287744,79424328,77352508,83841496,52
1523,1,379842113,375423024,374442613,389976038,575872589,592387770,583603734,556878850,414432426,380440983,375825058,213
1523,2,67321388,67581830,67247283,70288519,63407965,61096980,59680947,64387278,62244239,60700041,61694195,239
1523,3,28099405,29185808,29315942,29996513,20564346,19562419,20470778,23022518,23197428,20949141,21993360,236
1527,1,160358054,158445310,158143519,167740958,393635830,469609289,411988822,491773843,288925427,266170363,268602885,3691
1719,1,392954305,397534131,399273189,401406074,586601987,529341440,542438229,575379700,409925991,399972692,399501440,13
1719,2,27878857,25483199,26597295,25927357,27222868,27947105,27863061,27481633,13488888,12622224,13186921,1
1719,3,32863867,34043259,32118096,31692261,23494049,20809565,21431208,22484322,22790184,20837017,20648120,21
